100200,768600,13,1026000,电影,超凡蜘蛛侠2
100202,768613,13,10663000,综艺,一键启动2013
100203,768615,13,19090000,综艺,超级笑星2013
100208,768611,13,15761000,动漫,啦啦啦德玛西亚4
10021,108500,13,25593000,电视,交渉人2
100211,768639,13,5732000,电影,黄金孔雀城
100213,768655,13,5595000,电视,年轻医生记事薄第二季
100217,768617,13,10259000,教育,学龄前幼儿形体舞
100218,768646,13,5968000,电影,疯草
100219,768634,13,5787000,电影,被迫害妄想
10022,108507,13,17600000,电视,军情五处第八季
100224,768402,13,6538000,动漫,灼眼的夏娜s
100225,768397,13,13015000,动漫,快乐星猫之拯救侏罗纪
100226,768395,13,8921000,动漫,口袋里的龙
100227,768374,13,30274000,动漫,怪医秦博士ova
100228,768353,13,70382000,动漫,幻影丹尼
100229,768293,13,40142000,动漫,天元斗士
10023,108510,13,17479000,电视,口红森林第一季
100231,768447,13,5771000,动漫,怪医秦博士final
100232,768446,13,14895000,动漫,阎小妹
100233,768390,13,9754000,动漫,恐龙战队天兆之力
100234,767885,13,30558000,动漫,血色花园
100235,767754,13,542000,动漫,111寝室
100236,767778,13,5643000,动漫,敢达seed总集篇之鸣动的宇宙ova
100237,767787,13,187000,动漫,宫子
100238,767790,13,1386000,动漫,寒蝉鸣泣之时之猫杀篇ova
100239,767792,13,1908000,动漫,技之旅人ova
10024,78848,13,25896000,电视,离岛晴空
100240,768584,13,18382000,动漫,莎士比亚名剧动画
100241,768676,13,6323000,教育,高中语文
100242,768429,13,40824000,其他,女外交官手记
100243,768428,13,19871000,其他,女记者的中东故事
100244,768421,13,34117000,其他,毛泽东的秘书们
100245,768398,13,21867000,其他,红色之恋
100246,768616,13,23051000,教育,cad高手速成
100247,768640,13,45378000,教育,photoshopcs4教程
100248,768668,13,5220000,教育,小博士启蒙故事
100249,768585,13,31453000,其他,七杀
10025,16445,13,18108000,电视,恋爱诊断
100250,768583,13,19484000,其他,女生宿舍的电话
100251,768582,13,57296000,其他,女生寝室
100252,768581,13,83553000,其他,谋杀俱乐部
100253,768580,13,42852000,其他,黑猫的狞笑
100254,768527,13,39063000,其他,黑蚂蚁
100255,768578,13,15165000,其他,黑暗中的女孩
100256,768576,13,71541000,其他,国家宝藏
100257,768575,13,36745000,其他,鬼眼新娘
100258,768574,13,50460000,其他,鬼话连篇
100259,768572,13,10045000,其他,赶尸
10026,108519,13,32752000,电视,列王记第一季
100260,768571,13,61121000,其他,佛笑人
100261,768570,13,25947000,其他,沉船
100262,768569,13,49554000,其他,尘封迷案
100263,768568,13,18019000,其他,剥皮行者
100264,768567,13,9181000,其他,冰冷的镜子
100265,108130,13,64619000,其他,背后有人
100266,768518,13,20928000,其他,傍晚敲门的女人
100267,768566,13,11531000,其他,j号楼保安
100268,768565,13,6559000,其他,114路电车
100269,768517,13,552068000,其他,庶女攻略
10027,108521,13,55852000,电视,灵媒缉凶第二季
100270,768539,13,116996000,其他,猫妖宠妃
100271,768543,13,50676000,其他,清穿之炮灰女配
100272,768545,13,67530000,其他,江南公子
100273,768546,13,196256000,其他,魔兽之玛法大陆纪事
100274,768462,13,61889000,其他,张骞
100275,768435,13,31139000,其他,石油大博弈
100276,768680,13,2954000,教育,宝宝抚触与亲子操
100277,768656,13,54744000,教育,中国传世经典名画
100279,768586,13,5970000,教育,跟我学书法
10028,108529,13,41416000,电视,律政狂鲨第二季
100287,768644,13,5640000,电影,手风琴
10029,84180,13,12796000,电视,乱世妖姬
100290,768685,13,12182000,教育,妈妈教我学唐诗
100292,768682,13,13029000,教育,减肥美体私人教练
100295,768632,13,6507000,电影,迈向巅峰
100296,768642,13,3499000,教育,高中物理
100297,768669,13,5605000,电影,绝对复仇
100298,768641,13,2794000,教育,高中数学
100299,768638,13,2803000,教育,高中生物
1003,134282,22,20154000,电视,人人都爱雷蒙第九季
10030,108534,13,18926000,电视,妈妈以前是爸爸
100300,768635,13,2800000,教育,高中历史
100301,768631,13,3506000,教育,高中化学
100303,768630,13,2110000,教育,高中地理
100304,768627,13,6993000,教育,cctv中学生初中政治
100305,768624,13,4198000,教育,cctv中学生初中语文
